代號,名稱,掛牌最高,掛牌最低
24551,全新一,160,95.1
24552,全新二,255,110.2
24553,全新三,269,133.1
24562,奇力新二,158,99
24563,奇力新三,124.9,81.55
24564,奇力新四,399,87
24565,奇力新五,236,99.8
24566,奇力新六,152,103
24571,飛宏一,113.7,86.1
24581,義隆一,156,102
24591,敦吉一,205,104.5
24601,建通一,158,100
24611,光群雷一,131.65,85
24612,光群雷二,201,103
24613,光群雷三,126,93.05
24614,光群雷四,128,101
24615,光群雷五,128,99.55
24616,光群雷六,182,103.5
24621,良得電一,252,97
24622,良得電二,142.3,104.2
24623,良得電三,142,101
24624,良得電四,135.3,99
24641,盟立一,203,99
24642,盟立二,148.55,89.7
24661,冠西一,116.5,93
24662,冠西電二,113,99.8
24663,冠西電三,120,99.75
24671,志聖一,220,107
24672,志聖二,242,115.5
24673,志聖三,244,121
24681,華經一,115.5,115
24692,力信二,170,94.35
24701,品佳一,122,100.2
24702,品佳二,130,94
24721,立隆電一,115,98.1
24722,立隆電二,203,99.5
24723,立隆電三,181,104.7
24741,可成一,264,97.6
24742,可成二,170,100.3
24761,鉅祥一,120.65,110.5
24762,鉅祥二,191,103.15
24781,大毅一,159,95
24792,和立二,111.55,88
24801,敦陽一,101,98
24811,強茂一,131,115
24812,強茂二,307,107
24813,強茂三,167,85
24814,強茂四,163,79.9
24815,強茂五,139.5,97
24816,強茂六,167,102.05
24817,強茂七,153,100
24821,連宇一,169,107
24822,連宇二,552,110.1
24841,希華一,199,94
24842,希華二,171,79
24843,希華三,150,73
24861,一詮一,129.45,100
24862,一詮二,133.05,90
24863,一詮三,180,53
24864,一詮四,104.8,78.5
24865,一詮五,108,92.5
24866,一詮六,220,96.5
24881,漢平一,132,105
24891,瑞軒二,228,87.45
24893,瑞軒三,157,76.2
24894,瑞軒四,109,98.6
24921,華新科一,128,96
24971,怡利一,177,100
24972,怡利電二,126.55,99.15
24981,宏達電一,229,152
24991,東貝一,190,110
24992,東貝二,193,85
24993,東貝三,120,92
25052,國揚二,197,107
25091,全坤一,236,101.5
25092,全坤二,129.5,101
25143,龍邦三,162,95.25
25151,中工一,107.5,100.9
25152,中工二,117,94.35
25201,冠德一,182,103
25281,皇普一,154,100.5
25282,皇普二,257,103
25283,皇普三,123.5,103
25284,皇普四,112.15,90.8
25301,大華建設一,107.2,96
25302,大華建設二,100,86.5
25303,華建三,98.9,91
25304,華建四,101.5,92.4
25352,達欣工二,127.95,99.5
25353,達欣工三,138.8,94.8
25354,達欣工四,146,97.7
25355,達欣工五,220,102.8
25362,宏普二,122,99.8
25372,聯開二,145,100
25373,聯開三,137,100.5
25374,聯開四,139,90.5
25375,聯上發五,102.55,91.5
25382,基泰二,130.1,104
25383,基泰三,116.5,98.2
25391,櫻花建一,260,102.25
25392,櫻花建二,161,91.05
25421,興富發一,278,104.6
25422,興富發二,263,105.45
25423,興富發三,208,95.7
25424,興富發四,415,107
25425,興富發五,141,102.1
25431,皇昌一,177,84.1
25432,皇昌二,124,85.7
25461,根基一,194,104.5
25472,日勝二,175,65.2
25473,日勝三,122.2,95
25474,日勝四,120,95
25481,華固一,181,100
25482,華固二,176,74.45
25483,華固三,108.45,96
25484,華固四,112,98
25961,綠意一,142,99.5
25962,綠意二,148,99.4
26011,益航一,108,100.5
26012,益航二,105.3,99.5
26031,長榮一,158,98.5
26032,長榮二,188,101
26033,長榮三,157,99.9
26034,長榮四,233,102.75
